Row	Column	Plane	Timepoint	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
2	3	1	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-26-16-152-42-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:37.657+01:00	
2	3	1	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-26-16-152-41-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:38.377+01:00	
2	3	1	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-26-16-152-40-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:38.923+01:00	
2	3	2	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-25-16-152-42-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:39.233+01:00	
2	3	2	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-25-16-152-41-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:39.950+01:00	
2	3	2	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-25-16-152-40-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:40.497+01:00	
2	3	3	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-24-16-152-42-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:40.810+01:00	
2	3	3	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-24-16-152-41-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:41.510+01:00	
2	3	3	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/513-1212-119-24-16-152-40-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T11:05:42.073+01:00	
2	3	1	0	2	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/f4dcf95c-f278-43de-abb8-c173246cb4cd/514-1212-119-26-16-152-42-1411.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	-0.001291628	0.002583257	2023-03-21T11:05:43.150+01:00	
